City,State,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aubrey, TX,22689579.53,23972257.26,24373553.41,25539719.64,26562379.97,27642560.8,27455142.63,26417672.76,23573593.46
Auburn, AL,476536719.1,490585898.1,491781047.2,495782321.1,538711684.3,541720366.6,575245715.5,614292268.2,680742903.4
Auburn, IL,16911465.41,14958394.78,14893110.5,16912166.04,18861837.63,19553238.86,19889382.46,19918208.54,20472759.59
Auburn, IN,198954880.4,214975783.4,239004087.7,249253406.8,265087263.6,272873450.6,272556278.8,264169243,251641665.3
Auburn, NE,5688713.051,5785151.526,4520201.889,3581903.824,3199120.702,3128935.193,3123347.545,3212319.461,3132905.806
Auburn, NY,97846330.07,102956440.6,103920497.2,105939107.6,108176994.4,108047112.1,106465872.5,104089747.8,92597414.01
Auburn--North Auburn, CA,366292747.1,393079174.7,424773224.8,447876919.4,456798575,471450806.6,467351470.5,464663138.4,442726322.7
Augusta, KS,30092919.76,30451601.58,30695561.99,31903122.72,33847572.47,35058280.23,35734776.65,36482077.83,34411670.43
Augusta, ME,249730868.9,247796045.3,250562797,259104551.5,274923398,277554568.8,285704270.6,288271383.2,272402973.4
Augusta-Richmond County, GA,1960143152,2002822137,2028242420,2071325890,2185919841,2184025106,2212088222,2213103442,2190619403
Aumsville, OR,38453164.79,39596196.81,39364440.59,39951999.51,40300404.08,41742448.58,43063415.86,45460213.9,44513136.52
Aurora, MO,29819071.83,31168733.73,31056006.19,30802525.21,31228070.94,31107463.99,30549140.89,28921667.47,25494049.92
Aurora, NE,29054384.84,30088178.36,25954834.87,21249416.94,19132525.48,18088274.88,16986011.93,15961696.62,13803159.69
Austin, MN,91018322.91,91349135.12,89769601.52,91519694.85,93168239.47,94708363.08,96354721.9,100026277,99562895.45
Austin, TX,6578587176,6993542893,7282881306,7685182674,8080543086,8652866024,9086132745,9675766629,9975949354
Ava, MO,18271959.44,18416353.01,14530865.9,9827757.527,7446871.146,6426357.092,5788817.819,5300477.358,4668779.747
Avalon, CA,3551960.194,3483666.05,3100480.629,3090096.845,3121821.231,3276514.235,3247503.576,3024968.69,2546107.749
Avenal, CA,98264623.67,99860642.35,107466896,115167151.3,119212825.9,120703088.4,112439250.8,97600165.86,75327944.24
Avon, NY,50487074.15,53522854.72,54577343.77,54163490.86,53801799.17,52388738.3,50492856.13,48176536.93,41692880.53
Avondale--Goodyear, AZ,1496915711,1494995130,1487207367,1449209743,1408321904,1412320942,1458255678,1605038465,1838834866
Avra Valley, AZ,30933689.08,27926004.36,24126026.91,21415577.72,19282356.1,17657938.47,16200334.98,14901010.04,13441297.04
Aztec, NM,59347732.24,62444359.7,65174983.91,69072056.1,70621899.64,70134907.82,67823552.7,66294127.67,61173361.94
Bad Axe, MI,52240360.92,54907633.47,26201892.8,14383034.97,13160310.05,12954943.17,12690163.5,12318318.45,11931587.17
Bainbridge, GA,86429176.23,85948360.07,85086059.31,88700727.27,95474503.3,97321750.1,97922908.66,94131887.4,87364420.02
Baker City, OR,104230351.2,103739653.3,102616582.1,106184389.1,108740446.3,111555990.1,111763808.2,111454750.7,100866185
Bakersfield, CA,1625370403,1640488768,1769776422,1873837945,1946419134,2061537318,2086105840,2068164695,1917306973
Bald Knob, AR,41220950.58,43388768,43999669.03,45325958.4,48434192.75,50093590.36,51598200.32,53073809.67,54455000.77
Baldwin, WI,32159739.41,35294094.89,36285422.09,36894661.47,36383219.86,35974919.84,34581901.41,33321517.73,30190456.04
Baldwin City, KS,30357132.26,31449284.77,30368644.21,28512466.84,26929040.71,25642499.46,24481744.35,24176240.32,22608844.48
Ballinger, TX,57499171.35,57084898.19,54734781.12,55370181.25,57821147.2,61919524.55,63107052.07,60911142.58,53938851.13
Baltimore, MD,10818090646,10608022994,10316186131,10567638690,10447451070,10848505084,11043610155,11370887305,11802818299
