City,Area,population2010,population2011,population2012,population2013,population2014,population2015,population2016,population2017,personpersqmile2010,personpersqmile2011,personpersqmile2012,personpersqmile2013,personpersqmile2014,personpersqmile2015,personpersqmile2016,personpersqmile2017,emissionperperson2010,emissionperperson2011,emissionperperson2012,emissionperperson2013,emissionperperson2014,emissionperperson2015,emissionperperson2016,emissionperperson2017,cleanEPP2010,cleanEPP2011,cleanEPP2012,cleanEPP2013,cleanEPP2014,cleanEPP2015,cleanEPP2016,cleanEPP2017
Newark,24,277140,277574,277594,278121,278936,279636,280681,281237,11548,11566,11566,11588,11622,11652,11695,11718,8992.095905,8836.078123,8714.470709,8733.059719,8595.332639,8716.479974,9189.992222,9516.560019,8992,8836,8714,8733,8595,8716,9190,9517
Durham,110,228330,235341,241117,246992,253290,258647,265499,269844,2076,2139,2192,2245,2303,2351,2414,2453,7820.641992,7330.515686,6927.995998,6790.725971,6758.595239,6946.78338,7393.761197,7975.00219,7821,7331,6928,6791,6759,6947,7394,7975
Chula Vista,50,243916,248318,252379,256691,259885,264206,266238,269046,4878,4966,5048,5134,5198,5284,5325,5381,4487.634993,4215.936875,4072.962937,3970.347683,4179.119815,4383.124744,4812.511771,5147.246032,4488,4216,4073,3970,4179,4383,4813,5147
Toledo,81,287208,285425,283185,282352,280712,279898,278897,276688,3546,3524,3496,3486,3466,3456,3443,3416,4724.882566,4513.867941,4474.324127,4362.797281,4549.327072,4656.270645,4943.40156,5114.221011,4725,4514,4474,4363,4549,4656,4943,5114
Fort Wayne,111,253691,256293,257626,259333,260570,262109,263513,265128,2286,2309,2321,2336,2347,2361,2374,2389,5526.521181,5679.172791,5682.090247,5728.918418,5681.620294,5587.78773,5521.06158,5485.999076,5527,5679,5682,5729,5682,5588,5521,5486
St. Petersburg,62,244769,245871,246656,248453,252225,255041,259266,262588,3948,3966,3978,4007,4068,4114,4182,4235,7283.734897,6552.375725,6280.53391,6084.94545,6158.073478,6311.035237,6581.129438,6891.862374,7284,6552,6281,6085,6158,6311,6581,6892
Laredo,101,236091,241195,245728,249602,252734,255271,257862,259324,2338,2388,2433,2471,2502,2527,2553,2568,3601.584311,3694.23367,3971.629743,4252.650235,4440.672877,4400.041916,4204.401156,3753.36948,3602,3694,3972,4253,4441,4400,4204,3753
Jersey City,15,247597,252877,256072,257119,258632,260171,260427,263292,16506,16858,17071,17141,17242,17345,17362,17553,8112.759306,7784.873531,7605.056511,7633.338369,7479.433829,7535.869178,7924.857607,8067.044027,8113,7785,7605,7633,7479,7536,7925,8067
Chandler,65,236123,236834,237660,239888,240888,243679,247845,253599,3633,3644,3656,3691,3706,3749,3813,3902,4700.943885,4638.943669,4764.162299,4900.481058,5090.855198,5276.822521,5543.825221,5813.873229,4701,4639,4764,4900,5091,5277,5544,5814
Madison,77,233209,236908,239880,243233,245848,248788,252677,255786,3029,3077,3115,3159,3193,3231,3282,3322,5965.414761,5699.234602,5695.968534,5651.96306,5763.891445,5907.901961,6301.555793,6603.396859,5965,5699,5696,5652,5764,5908,6302,6603
Lubbock,125,229573,233928,236361,239708,244350,247950,251387,254432,1837,1871,1891,1918,1955,1984,2011,2035,4903.573582,4703.219174,4640.799493,4598.374894,4729.140381,4854.327328,5099.881259,5240.899168,4904,4703,4641,4598,4729,4854,5100,5241
Scottsdale,184,217385,220816,225191,228887,233949,241073,247953,251396,1181,1200,1224,1244,1271,1310,1348,1366,3428.213697,3262.361282,3180.020389,3131.009255,3098.595333,3060.310727,3096.121755,3199.633374,3428,3262,3180,3131,3099,3060,3096,3200
Reno,107,225221,227061,228926,230987,234096,238082,242143,246615,2105,2122,2139,2159,2188,2225,2263,2305,5913.691183,5510.133308,5437.073753,5783.107699,5689.25006,5992.473509,6547.580401,7172.888875,5914,5510,5437,5783,5689,5992,6548,7173
Buffalo,40,261310,260701,260155,260013,259548,258165,256816,256301,6533,6518,6504,6500,6489,6454,6420,6408,2830.665847,2745.206667,2655.21019,2607.640265,2627.563297,2740.630594,3021.192185,3200.747564,2831,2745,2655,2608,2628,2741,3021,3201
